Kód	Název	Id	Id nadřízené
            	Common Procurement Vocabulary	0	
03000000-1  	Produkty zemědělství, hospodářské produkty, produkty akvakultury, lesnictví a související produkty 	17340	0
03100000-2  	Produkty zemědělství a zahradnictví	17341	17340
03110000-5  	Produkty rostlinné výroby v zelinářství a zahradnictví 	17342	17341
03111000-2  	Semena 	17343	17342
03111100-3  	Sójové boby	17344	17343
03111200-4  	Podzemnice olejná	17345	17343
03111300-5  	Slunečnicová semena	17346	17343
03111400-6  	Bavlníková semena	17347	17343
03111500-7  	Sezamová semena	17348	17343
03111600-8  	Hořčičná semena	17349	17343
03111700-9  	Semena zeleniny	17350	17343
03111800-0  	Semena ovoce 	17351	17343
03111900-1  	Semena květin	17352	17343
03112000-9  	Nezpracovaný tabák 	17353	17342
03113000-6  	Rostliny využívané pro výrobu cukru	17354	17342
03113100-7  	Cukrovka 	17355	17354
03113200-8  	Cukrová třtina 	17356	17354
03114000-3  	Sláma a pícniny	17357	17342
03114100-4  	Sláma	17358	17357
03114200-5  	Pícniny	17359	17357
03115000-0  	Rostlinné suroviny 	17360	17342
03115100-1  	Rostlinné suroviny používané při výrobě textilu	17361	17360
03115110-4  	Bavlna 	17362	17361
03115120-7  	Juta 	17363	17361
03115130-0  	Len	17364	17361
03116000-7  	Přírodní kaučuk a latex a příbuzné produkty	17365	17342
03116100-8  	Přírodní kaučuk	17366	17365
03116200-9  	Přírodní latex 	17367	17365
03116300-0  	Latexové produkty	17368	17365
03117000-4  	Rostliny pro speciální použití 	17369	17342
03117100-5  	Rostliny používané v parfumerii, lékařství nebo jako insekticidy, nebo k podobným účelům 	17370	17369
03117110-8  	Rostliny používané v parfumerii	17371	17370
03117120-1  	Rostliny používané v lékařství 	17372	17370
03117130-4  	Rostliny používané jako insekticidy	17373	17370
03117140-7  	Rostliny používané jako fungicidy nebo k podobným účelům 	17374	17370
03117200-6  	Semena rostlin pro speciální použití 	17375	17369
03120000-8  	Zahradnické speciality a školkařské výpěstky 	17376	17341
03121000-5  	Zahradnické speciality 	17377	17376
03121100-6  	Živé rostliny, cibule, kořeny, řízky a odnože	17378	17377
03121200-7  	Řezané květiny 	17379	17377
03121210-0  	Květinové dekorace 	17380	17379
03130000-1  	Rostliny pěstované pro výrobu nápojů a koření	17381	17341
03131000-8  	Rostliny pěstované pro výrobu nápojů 	17382	17381
03131100-9  	Kávové boby	17383	17382
03131200-0  	Čajovníky	17384	17382
03131300-1  	Maté 	17385	17382
03131400-2  	Kakaové boby 	17386	17382
03132000-5  	Nezpracované koření	17387	17381
03140000-4  	Produkty živočišné výroby a související produkty 	17388	17341
03141000-1  	Býčí sperma	17389	17388
03142000-8  	Produkty živočišné výroby	17390	17388
03142100-9  	Přírodní med 	17391	17390
03142200-0  	Plži 	17392	17390
03142300-1  	Jedlé produkty živočišného původu	17393	17390
03142400-2  	Vosky	17394	17390
03142500-3  	Vejce	17395	17390
03143000-5  	Produkty smíšeného hospodářství	17396	17388
03144000-2  	Zemědělský pomocný materiál	17397	17388
03200000-3  	Obiloviny, brambory, zelenina, ovoce a ořechy	17398	17340
03210000-6  	Obiloviny a brambory 	17399	17398
03211000-3  	Obiloviny	17400	17399
03211100-4  	Pšenice	17401	17400
03211110-7  	Pšenice tvrdá	17402	17401
03211120-0  	Pšenice obecná 	17403	17401
03211200-5  	Kukuřice 	17404	17400
03211300-6  	Rýže 	17405	17400
03211400-7  	Ječmen 	17406	17400
03211500-8  	Žito 	17407	17400
03211600-9  	Oves 	17408	17400
03211700-0  	Slad 	17409	17400
03211900-2  	Produkty z obilovin	17410	17400
03212000-0  	Brambory a sušená zelenina 	17411	17399
03212100-1  	Brambory 	17412	17411
03212200-2  	Sušené vyluštěné luštěniny a luštěninová zelenina	17413	17411
03212210-5  	Sušené vyluštěné luštěniny 	17414	17413
03212211-2  	Čočka	17415	17414
03212212-9  	Cizrna (Garbanzos) 	17416	17414
03212213-6  	Sušený hrách 	17417	17414
03212220-8  	Luštěninová zelenina 	17418	17413
03220000-9  	Zelenina, ovoce a ořechy 	17419	17398
03221000-6  	Zelenina 	17420	17419
03221100-7  	Kořenová a cibulová zelenina 	17421	17420
03221110-0  	Kořenová zelenina	17422	17421
03221111-7  	Řepa 	17423	17422
03221112-4  	Mrkev	17424	17422
03221113-1  	Cibule 	17425	17422
03221114-8  	Vodnice	17426	17422
03221120-3  	Cibulová zelenina	17427	17421
03221200-8  	Plodová zelenina 	17428	17420
03221210-1  	Fazole 	17429	17428
03221211-8  	Bob polní	9091	17429
03221212-5  	Fazol obecný 	16542	17429
03221213-2  	Fazol šarlatový	16543	17429
03221220-4  	Hrách	16544	17428
03221221-1  	Hrách zahradní 	16545	16544
03221222-8  	Hrách cukrový	16546	16544
03221230-7  	Papriky	16547	17428
03221240-0  	Rajčata	16548	17428
03221250-3  	Cukety 	16549	17428
03221260-6  	Houby	16550	17428
03221270-9  	Okurky 	16551	17428
03221300-9  	Listová zelenina 	16552	17420
03221310-2  	Hlávkový salát 	16553	16552
03221320-5  	Salátové listy 	16554	16552
03221330-8  	Artyčoky 	16555	16552
03221340-1  	Špenát 	16556	16552
03221400-0  	Zelí 	16557	17420
03221410-3  	Zelí bílé	16558	16557
03221420-6  	Květák 	16559	16557
03221430-9  	Brokolice	16560	16557
03221440-2  	Růžičková kapusta	16561	16557
03222000-3  	Ovoce a ořechy 	16562	17419
03222100-4  	Tropické ovoce a ořechy	16563	16562
03222110-7  	Tropické ovoce 	16564	16563
03222111-4  	Banány 	16565	16564
03222112-1  	Ananasy	16566	16564
03222113-8  	Mango	16567	16564
03222114-5  	Datle	16568	16564
03222115-2  	Hrozinky 	16569	16564
03222116-9  	Fíky 	16570	16564
03222117-6  	Avokádo	16571	16564
03222118-3  	Kiwi 	16572	16564
03222120-0  	Kokosové ořechy	16573	16563
03222200-5  	Citrusové ovoce	16574	16562
03222210-8  	Citróny	16575	16574
03222220-1  	Pomeranče	16576	16574
03222230-4  	Grapefruity	16577	16574
03222240-7  	Mandarinky 	16578	16574
03222250-0  	Kyselé lajmy 	16579	16574
03222300-6  	Jiné než tropické ovoce	16580	16562
03222310-9  	Bobulové ovoce 	16581	16580
03222311-6  	Rybíz	16582	16581
03222312-3  	Angrešt	16583	16581
03222313-0  	Jahody 	16584	16581
03222314-7  	Maliny 	16585	16581
03222315-4  	Brusinky 	16586	16581
03222320-2  	Jablka, hrušky a kdoule	16587	16580
03222321-9  	Jablka 	16588	16587
03222322-6  	Hrušky 	16589	16587
03222323-3  	Kdoule 	16590	16587
03222330-5  	Peckové ovoce	16591	16580
03222331-2  	Meruňky	16592	16591
03222332-9  	Broskve	16593	16591
03222333-6  	Třešně 	16594	16591
03222334-3  	Švestky	16595	16591
03222340-8  	Hrozny 	16596	16580
03222341-5  	Stolní hrozny	16597	16596
03222342-2  	Vinné hrozny 	16598	16596
03222400-7  	Olivy	16599	16562
03300000-2  	Hospodářské produkty, produkty myslivosti a akvakultury	16600	17340
03310000-5  	Ryby, korýši a produkty akvakultury	16601	16600
03311000-2  	Ryby 	16602	16601
03311100-3  	Platýsovité ryby 	16603	16602
03311110-6  	Jazyk mořský 	16604	16603
03311120-9  	Platýs velký 	16605	16603
03311200-4  	Ryby čeledi treskovitých 	16606	16602
03311210-7  	Tresky 	16607	16606
03311220-0  	Treska pollak	16608	16606
03311230-3  	Štikozubci 	16609	16606
03311240-6  	Treska jednoskvrnná	16610	16606
03311300-5  	Sleď 	16611	16602
03311400-6  	Tuňák	16612	16602
03311500-7  	Treska bezvousá	16613	16602
03311600-8  	Šprot obecný 	16614	16602
03311700-9  	Losos	16615	16602
03312000-9  	Korýši 	16616	16601
03312100-0  	Ústřice	16617	16616
03312200-1  	Měkkýši	16618	16616
03312300-2  	Vodní bezobratlí 	16619	16616
03313000-6  	Produkty akvakultury 	16620	16601
03313100-7  	Korály a podobné produkty	16621	16620
03313200-8  	Přírodní houba živočišného původu	16622	16620
03313300-9  	Řasy 	16623	16620
03313310-2  	Chaluhy	16624	16623
03320000-8  	Dobytek, hospodářská zvířata a drobná zvířata	16625	16600
03321000-5  	Dobytek	16626	16625
03321100-6  	Hovězí dobytek 	16627	16626
03321200-7  	Telata 	16628	16626
03322000-2  	Hospodářská zvířata	16629	16625
03322100-3  	Ovce 	16630	16629
03322200-4  	Kozy 	16631	16629
03322300-5  	Koně 	16632	16629
03323000-9  	Prasata	16633	16625
03324000-6  	Drůbež živá	16634	16625
03325000-3  	Drobná zvířata 	16635	16625
03325100-4  	Králíci	16636	16635
03325200-5  	Zajíci 	16637	16635
03330000-3  	Produkty chovu hospodářských užitkových zvířat 	16638	16600
03331000-0  	Čerstvé ovčí a kozí mléko	16639	16638
03331100-1  	Ovčí mléko 	16640	16639
03331200-2  	Kozí mléko 	16641	16639
03332000-7  	Vlna a zvířecí chlupy	18058	16638
03332100-8  	Střižní vlna 	18059	18058
03332200-9  	Zvířecí chlupy 	18060	18058
03333000-4  	Čerstvé kravské mléko	18061	16638
03340000-6  	Ušní značky pro zvířata	18062	16600
03341000-3  	Ušní značky pro skot 	18063	18062
03400000-4  	Produkty lesnictví a těžby dřeva 	18064	17340
03410000-7  	Dřevo	18065	18064
03411000-4  	Jehličnaté dřevo 	18066	18065
03412000-1  	Tropické dřevo 	18067	18065
03413000-8  	Palivové dřevo 	18068	18065
03414000-5  	Surové dřevo 	18069	18065
03415000-2  	Měkké dřevo	18070	18065
03416000-9  	Dřevěný odpad	18071	18065
03417000-6  	Dřevěné zbytky 	18072	18065
03417100-7  	Dřevěné piliny 	18073	18072
03418000-3  	Klády	18074	18065
03418100-4  	Listnaté dřevo 	18075	18074
03419000-0  	Užitkové dřevo 	18076	18065
03419100-1  	Produkty z užitkového dřeva	18077	18076
03419200-2  	Důlní dřevo	18078	18076
03420000-0  	Gumy 	18079	18064
03421000-7  	Balzámy	18080	18079
03422000-4  	Šelak	18081	18079
03430000-3  	Korek	18082	18064
03431000-0  	Přírodní korek 	18083	18082
03432000-7  	Košíkářské výrobky 	18084	18082
03432100-8  	Proutěné výrobky 	18085	18084
03440000-6  	Ostatní produkty lesnictví 	18086	18064
03441000-3  	Okrasné rostliny, trávy, mechy a lišejníky 	18087	18086
03450000-9  	Produkty lesních školek	18088	18064
03451000-6  	Rostliny 	18089	18088
03451100-7  	Sazenice rostlin 	18090	18089
03451200-8  	Cibule květin	18091	18089
03451300-9  	Keře 	18092	18089
03452000-3  	Stromy 	18093	18088
03460000-2  	Buničina 	18094	18064
03461000-9  	Buničina ze dřeva	18095	18094
03461100-0  	Viskózová buničina 	18096	18095
09000000-3  	Ropné produkty, paliva, elektrická energie a ostatní zdroje energie	18097	0
