Zastupitelstvo;Jméno;Příjmení;Věk;"Politická příslušnost";Plné jméno;
Zastupitelstvo - Středočeský kraj; Tomáš;Beneš ;47;ANO 2011;Beneš Tomáš   Ing. MBA;
Zastupitelstvo - Středočeský kraj; Robert;Bezděk ;52;BEZPP;Bezděk Robert JUDr. CSc.;
Zastupitelstvo - Středočeský kraj; Ivan;Cinka ;59;KSČM;Cinka Ivan Mgr.;
Zastupitelstvo - Středočeský kraj; Zbyněk;Coufal ;62;KSČM;Coufal Zbyněk Ing.;
Zastupitelstvo - Středočeský kraj; Josef;Dovolil ;59;KSČM;Dovolil Josef Ing.;
Zastupitelstvo - Středočeský kraj; Dana;Drábová ;55;BEZPP;Drábová Dana Ing. Ph.D.;
Zastupitelstvo - Středočeský kraj; Martin;Draxler ;49;BEZPP;Draxler Martin;
Zastupitelstvo - Středočeský kraj; Karel;Filip ;61;ČSSD;Filip Karel Mgr.;
Zastupitelstvo - Středočeský kraj; Pavel;Fojtík ;41;BEZPP;Fojtík Pavel PhDr.;
Zastupitelstvo - Středočeský kraj; Hana;Hajná ;55;STAN;Hajná Hana;
Zastupitelstvo - Středočeský kraj; Jiří;Haspeklo ;58;ANO 2011;Haspeklo Jiří Ing.;
Zastupitelstvo - Středočeský kraj; Tomáš;Havlíček ;36;ODS;Havlíček Tomáš Ing. MBA;
Zastupitelstvo - Středočeský kraj; Martin;Herman ;46;ANO 2011;Herman Martin;
Zastupitelstvo - Středočeský kraj; Aneta;Heřmanová ;38;ČSSD;Heřmanová Aneta Mgr.;
Zastupitelstvo - Středočeský kraj; Miroslav;Hölzel ;58;ODS;Hölzel Miroslav Ing.;
Zastupitelstvo - Středočeský kraj; Zdeněk;Hraba ;41;BEZPP;Hraba Zdeněk JUDr. Ing. Ph.D.;
Zastupitelstvo - Středočeský kraj; Marie;Kaufmann ;57;BEZPP;Kaufmann Marie PhDr.;
Zastupitelstvo - Středočeský kraj; Gabriel;Kovács ;43;ANO 2011;Kovács Gabriel Ing.;
Zastupitelstvo - Středočeský kraj; Jaroslav;Král ;69;ODS;Král Jaroslav;
Zastupitelstvo - Středočeský kraj; Libor;Lesák ;51;ODS;Lesák Libor;
Zastupitelstvo - Středočeský kraj; Martin;Macháček ;67;BEZPP;Macháček Martin RNDr. CSc.;
Zastupitelstvo - Středočeský kraj; Přemysl;Mališ ;36;ANO 2011;Mališ Přemysl;
Zastupitelstvo - Středočeský kraj; Daniel;Marek ;35;TOP 09;Marek Daniel Mgr.;
Zastupitelstvo - Středočeský kraj; Marcela;Melková ;45;ANO 2011;Melková Marcela;
Zastupitelstvo - Středočeský kraj; Václav;Melša ;47;KSČM;Melša Václav;
Zastupitelstvo - Středočeský kraj; Věslav;Michalik ;53;STAN;Michalik Věslav Ing. CSc.;
Zastupitelstvo - Středočeský kraj; Jiřina;Michalová ;64;ANO 2011;Michalová Jiřina Ing.;
Zastupitelstvo - Středočeský kraj; Václav;Michl ;62;ODS;Michl Václav;
Zastupitelstvo - Středočeský kraj; Ctirad;Mikeš ;60;BEZPP;Mikeš Ctirad MVDr.;
Zastupitelstvo - Středočeský kraj; Lenka;Mrzílková ;55;BEZPP;Mrzílková Lenka Mgr.;
Zastupitelstvo - Středočeský kraj; Jaroslava;Němcová ;45;ANO 2011;Němcová Jaroslava Ing. MBA;
Zastupitelstvo - Středočeský kraj; Michael;Pánek ;51;ODS;Pánek Michael Ing.;
Zastupitelstvo - Středočeský kraj; František;Petrtýl ;57;ANO 2011;Petrtýl František Ing.;
Zastupitelstvo - Středočeský kraj; Jana;Poláková ;41;ODS;Poláková Jana Mgr.;
Zastupitelstvo - Středočeský kraj; Milan;Schweigstill ;51;TOP 09;Schweigstill Milan Mgr.;
Zastupitelstvo - Středočeský kraj; Jan;Skopeček ;35;ODS;Skopeček Jan Ing. et Ing.;
Zastupitelstvo - Středočeský kraj; Petr;Šibrava ;57;STAN;Šibrava Petr;
Zastupitelstvo - Středočeský kraj; Pavla;Štrobachová ;56;BEZPP;Štrobachová Pavla Mgr. MPA;
Zastupitelstvo - Středočeský kraj; Karel;Šulc ;51;ANO 2011;Šulc Karel;
Zastupitelstvo - Středočeský kraj; Jiří;Volenec ;54;ČSSD;Volenec Jiří;
Zastupitelstvo - Středočeský kraj; Blanka;Žánová ;51;BEZPP;Žánová Blanka Mgr. Bc.;
Zastupitelstvo - Jihočeský kraj; Olga;Bastlová ;46;ČSSD;Bastlová Olga Ing.;
Zastupitelstvo - Jihočeský kraj; Martin;Doležal ;46;BEZPP;Doležal Martin Mgr. Ing.;
Zastupitelstvo - Jihočeský kraj; Petr;Eliáš ;48;ODS;Eliáš Petr;
Zastupitelstvo - Jihočeský kraj; Jiří;Fišer ;63;T2020;Fišer Jiří Ing.;
Zastupitelstvo - Jihočeský kraj; Tomáš;Hajdušek ;47;ODS;Hajdušek Tomáš Ing.;
Zastupitelstvo - Jihočeský kraj; Petr;Kalina ;44;ANO 2011;Kalina Petr Ing.;
Zastupitelstvo - Jihočeský kraj; Vilém;Klapsia ;39;KSČM;Klapsia Vilém;
Zastupitelstvo - Jihočeský kraj; Josef;Knot ;44;TOP 09;Knot Josef JUDr. MBA;
Zastupitelstvo - Jihočeský kraj; Jan;Kubík ;37;ANO 2011;Kubík Jan Ing.;
Zastupitelstvo - Jihočeský kraj; Jaroslav;Kupsa ;64;ČSSD;Kupsa Jaroslav;
